Kurikulum Program Sistem Informasi Bisnis (8 Semester),,,,
,,,,
,,,,
Semester 1,,,,
1,TF4261,Kerja Praktek,2,Selesai >= 85 SKS
2,TF4540,Industrial Training,6,Selesai >= 85 SKS
3,TF4539,Professional Development,6,Selesai >= 85 SKS
4,,MK Pilihan (2x),6,Selesai >= 60 SKS
,,Jumlah,20,
,,,,
Semester 6 (LEaP: Community Engagement),,,,
No.,Kode,Mata Kuliah,SKS,Prasyarat
1,TF4261,Kerja Praktek,2,Selesai >= 85 SKS
2,TF4541,Community Development,6,Selesai >= 85 SKS
3,TF4539,Professional Development,6,Selesai >= 85 SKS
4,,MK Pilihan (2x),6,Selesai >= 60 SKS
,,Jumlah,20,
,,,,
Semester 6 (Paket Minor),,,,
No.,Kode,Mata Kuliah,SKS,Prasyarat
1,,MK Minor Wajib,12,Selesai >= 85 SKS
2,,MK Minor Pilihan,8,Selesai >= 85 SKS
,,Jumlah,20,
,,,,
Semester 7,,,,
No.,Kode,Mata Kuliah,SKS,Prasyarat
1,TF4317,Manajemen Proyek Teknologi Informasi,3,K. RPL (TF4255)
2,TF4569,Network Defense,3,K. CyOps(TF4544)
3,TF4259,Metodologi Penelitian (MetPen),3,Selesai >= 105 SKS
4,,MK Konsentrasi (3x)/ COP (TF4994),9,Selesai >= 60 SKS
,,Jumlah,18,
,,,,
Semester 8,,,,
No.,Kode,Mata Kuliah,SKS,Prasyarat
1,TF4999,Skripsi,6,"K. Metpen (TF4259), Selesai >= 129 SKS"
2,,MK Konsentrasi (1x),3,Selesai >= 60 SKS
,,Jumlah,9,
,,,,
Konsentrasi SIB: Enterprise Information System (minimal ambil 5 MK),,,,
No.,Kode,Mata Kuliah,Prasyarat,
1,TF4448,Enterprise Architecture,K. APB (TF4408),
2,TF4422,Audit Sistem Informasi,"K. APB (TF4408),K. TatKelTI (TF4521)",
3,TF4424,Customer Relationship Management,,
4,TF4324,Sistem Informasi Manufaktur (SIMnf),K. APB (TF4408),
5,TF4572,Technical ERP,,
6,TF4526,Knowledge Management,K. BD (TF4229),
7,TF4548,Business Intelligence,K. BD (TF4229),
,,,,
Konsentrasi SIB: Business Intelligence (minimal ambil 5 MK),,,,
No.,Kode,Mata Kuliah,Prasyarat,
1,TF4548,Business Intelligence,K. BD (TF4229),
2,TF4526,Knowledge Management,K. BD (TF4229),
3,TF4547,Multi Criteria Decision Making,,
4,TF4333,Data Mining (DatMin),K. StatDas (TF4227),
5,TF4527,Text and Web Mining,K. StatDas (TF4227),
6,TF4523,Analisis Big Data,K. DatMin (TF4333),
7,TF4549,Pemodelan Data untuk Data Science,K. BD (TF4229),
,,,,
MK Pilihan,,,,
No.,Kode,Mata Kuliah,Prasyarat,
1,TF4295,Teknik Pemodelan dan Simulasi,"K.  StatDas  (TF4227),K. SD (TF4219)",
2,TF4374,Teknologi Open Source,K. SO (TF4243),
3,TF4571,Digital Forensics,K. JarKom (TF4253),
4,TF4355,Administrasi Basis Data,K. BD (TF4229),
5,TF4532,Manajemen Perangkat Jaringan,K. JarKom (TF4253),
6,TF4508,Pemrograman Robotika,K. ALin (FD4507),
7,FD4506,Kalkulus II,L. Kalkulus I (FD4505),
8,TF4319,Riset Operasi,K. MatDis (TF4245),
9,TF4413,E-Business,K. ADSI (TF4327),
10,TF4429,Manajemen Risiko,"K. APB (TF4408),K. TatKelTI (TF4521)",
11,TF4529,Sistem Informasi Sumber Daya Manusia,K. ADSI (TF4327),
12,TF4439,Supply Chain Management,K. ADSI (TF4327),
13,TF4321,Sistem Informasi Akuntansi (SIA),K. PA (TF4249),
14,TF4301,Akuntansi Biaya,K. PA (TF4249),
15,TF4305,Bisnis Internasional,,
16,TF4303,Aplikasi Sistem Pakar,K. BD (TF4229),
17,TF4426,Kriptografi & Steganografi,K. MatDis (TF4245),
18,TF4552,Internet of Things,,
19,TF4575,Development Operations,,
20,TF4273,Basis Data Lanjut,,
21,TF4322,Sistem Informasi Manajemen,,
22,TF4510,Topik Khusus Informatika,,
23,TF4535,Topik Khusus Sistem Informasi Bisnis,,
24,TF4xxx,Topik Khusus Data Science & Analytics,,
25,TF4556,Topik Pengayaan I,,
26,TF4557,Topik Pengayaan II,,
27,TF4558,Topik Pengayaan III,,
28,TF4559,Topik Pengayaan IV,,
29,TF4560,Topik Pengayaan V,,
30,TF4561,Topik Pengayaan VI,,
31,TF4562,Topik Pengayaan Singkat I,,
32,TF4563,Topik Pengayaan Singkat II,,
33,TF4564,Topik Pengayaan Singkat III,,
34,TF4565,Topik Pengayaan Singkat IV,,
35,TF4566,Topik Pengayaan Singkat V,,
36,TF4567,Topik Pengayaan Singkat VI,,
,,,,
MKDU Pilihan,,,,
