Kurikulum Program Studi Informatika (8 Semester),,,,
,,,,
,,,,
Semester 1,,,,
10,DU4182,Peacebuilding (Studi Perdamaian),3,
11,DU4208,Community Outreach Program (COP),3,
12,DU4209,Disability Studies and Empowerment,3,
,,,,
Keterangan:,,,,
Mata kuliah tercetak dengan bintang (*) adalah mata kuliah yang disertai responsi/studio,,,,
Mata kuliah tercetak dengan tilde (~) adalah mata kuliah yang disertai praktikum.,,,,
Mata kuliah tercetak dengan hash (#) adalah mata kuliah yang ditawarkan pada international track (dengan pengantar Bahasa Inggris) selain pada regular track (dengan pengantar Bahasa Indonesia).,,,,
"Mata kuliah COP, dapat digantikan dengan Mata Kuliah Pilihan.",,,,
Keterangan prasyarat kuliah:,,,,
"K = Kuliah, MK prasyarat pernah diambil pada semester sebelumnya.",,,,
"L = Lulus, MK prasyarat pernah diambil pada semester sebelumnya dan lulus.",,,,
Mata kuliah konsentrasi & pilihan minimum 60% harus dari program yang diikuti.,,,,
